price,date,ticker
104.0,2016-07-01,A
104.87815067615500,2016-07-05,A
104.41190933506300,2016-07-06,A
104.93195657145000,2016-07-07,A
104.42127356374400,2016-07-08,A
104.48233796748300,2016-07-11,A
103.40686762477400,2016-07-12,A
103.9591303830490,2016-07-13,A
104.28469233758700,2016-07-14,A
104.66676708484200,2016-07-15,A
104.17156610731600,2016-07-18,A
104.13991075455400,2016-07-19,A
104.79582404775200,2016-07-20,A
105.87675465461600,2016-07-21,A
105.93709383205700,2016-07-22,A
105.99824339629800,2016-07-25,A
106.66192069875700,2016-07-26,A
106.43128726583500,2016-07-27,A
107.24942817664500,2016-07-28,A
106.92252227151600,2016-07-29,A
107.19164012859000,2016-08-01,A
107.76739981019900,2016-08-02,A
106.79760036376000,2016-08-03,A
106.37017472757200,2016-08-04,A
107.25706082740400,2016-08-05,A
106.32520729915600,2016-08-08,A
106.39761885327700,2016-08-09,A
105.40582903661800,2016-08-10,A
104.76581330979400,2016-08-11,A
104.54658054564500,2016-08-12,A
104.16731852181000,2016-08-15,A
104.20780001476100,2016-08-16,A
104.7355761493420,2016-08-17,A
104.1535430975010,2016-08-18,A
104.19534374424600,2016-08-19,A
104.2475736064230,2016-08-22,A
104.86594308196400,2016-08-23,A
105.5339054469480,2016-08-24,A
104.89166888729600,2016-08-25,A
105.41404099234200,2016-08-26,A
105.84159342092600,2016-08-29,A
104.25883692068000,2016-08-30,A
104.34314558998800,2016-08-31,A
105.0531392172160,2016-09-01,A
104.7155555671810,2016-09-02,A
105.58843450060000,2016-09-06,A
105.82575994957000,2016-09-07,A
106.40576836769600,2016-09-08,A
106.33895474987000,2016-09-09,A
106.45935569714400,2016-09-12,A
104.97493607225900,2016-09-13,A
104.51324100590000,2016-09-14,A
104.56447114723400,2016-09-15,A
104.42426708739800,2016-09-16,A
104.36017878164000,2016-09-19,A
104.65702984256800,2016-09-20,A
103.8770651464120,2016-09-21,A
105.32574951231100,2016-09-22,A
106.230251704852,2016-09-23,A
106.49466606265100,2016-09-26,A
107.28862190975100,2016-09-27,A
106.90267998732100,2016-09-28,A
106.56629592520200,2016-09-29,A
105.08773418645500,2016-09-30,A
104.7124724776130,2016-10-03,A
104.11672058372300,2016-10-04,A
103.84410015144100,2016-10-05,A
102.9642307762590,2016-10-06,A
104.16179785387300,2016-10-07,A
104.93050731747200,2016-10-10,A
105.97005797025600,2016-10-11,A
104.98281570660500,2016-10-12,A
105.81152696173300,2016-10-13,A
106.22262800781200,2016-10-14,A
